Title,Features,Ratings,Price
Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White,"Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White41,352 Ratings & 249 Reviews1200 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor",4,"₹22,990"
"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.32,223 Ratings & 197 Reviews1200 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",4.3,"₹34,990"
ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey,"ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey4.245,540 Ratings & 5,305 Reviews750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.2,"₹13,290"
LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,"LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver4.334,409 Ratings & 2,833 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG",4.3,"₹16,990"
"Thomson 8 kg Semi Automatic Top Load Black, White","Thomson 8 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹8,790"
"Thomson 7 kg Washer only Red, White","Thomson 7 kg Washer only Red, White4.1854 Ratings & 104 Reviews780 rpm Max Speed1 Years Comprehensive Warranty on Product and 5 Years on Wash Motor",4.1,"₹4,990"
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver,"SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver4.35,577 Ratings & 454 Reviews680 rpm Max Speed3 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹15,790"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,"realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey4.219,487 Ratings & 2,393 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.2,"₹13,490"
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,"SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey4.323,691 Ratings & 1,989 Reviews700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹17,990"
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.31,490 Ratings & 141 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.3,"₹13,990"
"realme TechLife 7 kg Semi Automatic Top Load White, Black","realme TechLife 7 kg Semi Automatic Top Load White, Black4.218,069 Ratings & 2,072 Reviews1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor",4.2,"₹7,990"
"MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White","MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White4.29,367 Ratings & 1,097 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.2,"₹7,590"
"Candes 6.5 kg Semi Automatic Top Load Red, White","Candes 6.5 kg Semi Automatic Top Load Red, White1400 RPM Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor",,"₹6,890"
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey4.311,586 Ratings & 912 Reviews800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier",4.3,"₹12,990"
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...,"SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...4.427,972 Ratings & 2,726 Reviews1000 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4,"₹23,690"
"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White","IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White4.313,888 Ratings & 1,176 Reviews720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support",4.3,"₹18,690"
"Thomson 10 kg Semi Automatic Top Load Black, White","Thomson 10 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹11,490"
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White","LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White4.511,205 Ratings & 854 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG",4.5,"₹12,490"
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon4.357,655 Ratings & 6,550 Reviews1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.3,"₹7,190"
"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple","SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple4.418,424 Ratings & 1,430 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.4,"₹11,290"
"Thomson 6.5 kg with Semi Automatic Top Load Blue, White","Thomson 6.5 kg with Semi Automatic Top Load Blue, White43,345 Ratings & 321 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor",4,"₹7,690"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.21,698 Ratings & 172 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.2,"₹15,240"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.310,890 Ratings & 1,107 Reviews1000 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty and 10 Years Spares Support",4.3,"₹28,390"
"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey4.49,306 Ratings & 811 Reviews1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor",4.4,"₹9,990"
Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White,"Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White41,352 Ratings & 249 Reviews1200 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor",4,"₹22,990"
"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.32,223 Ratings & 197 Reviews1200 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",4.3,"₹34,990"
ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey,"ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey4.245,540 Ratings & 5,305 Reviews750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.2,"₹13,290"
LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,"LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver4.334,409 Ratings & 2,833 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG",4.3,"₹16,990"
"Thomson 8 kg Semi Automatic Top Load Black, White","Thomson 8 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹8,790"
"Thomson 7 kg Washer only Red, White","Thomson 7 kg Washer only Red, White4.1854 Ratings & 104 Reviews780 rpm Max Speed1 Years Comprehensive Warranty on Product and 5 Years on Wash Motor",4.1,"₹4,990"
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver,"SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver4.35,577 Ratings & 454 Reviews680 rpm Max Speed3 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹15,790"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,"realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey4.219,487 Ratings & 2,393 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.2,"₹13,490"
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,"SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey4.323,691 Ratings & 1,989 Reviews700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹17,990"
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.31,490 Ratings & 141 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.3,"₹13,990"
"realme TechLife 7 kg Semi Automatic Top Load White, Black","realme TechLife 7 kg Semi Automatic Top Load White, Black4.218,069 Ratings & 2,072 Reviews1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor",4.2,"₹7,990"
"MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White","MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White4.29,367 Ratings & 1,097 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.2,"₹7,590"
"Candes 6.5 kg Semi Automatic Top Load Red, White","Candes 6.5 kg Semi Automatic Top Load Red, White1400 RPM Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor",,"₹6,890"
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey4.311,586 Ratings & 912 Reviews800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier",4.3,"₹12,990"
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...,"SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...4.427,972 Ratings & 2,726 Reviews1000 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4,"₹23,690"
"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White","IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White4.313,888 Ratings & 1,176 Reviews720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support",4.3,"₹18,690"
"Thomson 10 kg Semi Automatic Top Load Black, White","Thomson 10 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹11,490"
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White","LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White4.511,205 Ratings & 854 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG",4.5,"₹12,490"
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon4.357,655 Ratings & 6,550 Reviews1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.3,"₹7,190"
"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple","SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple4.418,424 Ratings & 1,430 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.4,"₹11,290"
"Thomson 6.5 kg with Semi Automatic Top Load Blue, White","Thomson 6.5 kg with Semi Automatic Top Load Blue, White43,345 Ratings & 321 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor",4,"₹7,690"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.21,698 Ratings & 172 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.2,"₹15,240"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.310,890 Ratings & 1,107 Reviews1000 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty and 10 Years Spares Support",4.3,"₹28,390"
"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey4.49,306 Ratings & 811 Reviews1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor",4.4,"₹9,990"
Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White,"Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White41,352 Ratings & 249 Reviews1200 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor",4,"₹22,990"
"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.32,223 Ratings & 197 Reviews1200 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",4.3,"₹34,990"
ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey,"ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey4.245,540 Ratings & 5,305 Reviews750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.2,"₹13,290"
LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,"LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver4.334,409 Ratings & 2,833 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG",4.3,"₹16,990"
"Thomson 8 kg Semi Automatic Top Load Black, White","Thomson 8 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹8,790"
"Thomson 7 kg Washer only Red, White","Thomson 7 kg Washer only Red, White4.1854 Ratings & 104 Reviews780 rpm Max Speed1 Years Comprehensive Warranty on Product and 5 Years on Wash Motor",4.1,"₹4,990"
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver,"SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver4.35,577 Ratings & 454 Reviews680 rpm Max Speed3 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹15,790"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,"realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey4.219,487 Ratings & 2,393 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.2,"₹13,490"
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,"SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey4.323,691 Ratings & 1,989 Reviews700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹17,990"
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.31,490 Ratings & 141 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.3,"₹13,990"
"realme TechLife 7 kg Semi Automatic Top Load White, Black","realme TechLife 7 kg Semi Automatic Top Load White, Black4.218,069 Ratings & 2,072 Reviews1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor",4.2,"₹7,990"
"MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White","MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White4.29,367 Ratings & 1,097 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.2,"₹7,590"
"Candes 6.5 kg Semi Automatic Top Load Red, White","Candes 6.5 kg Semi Automatic Top Load Red, White1400 RPM Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor",,"₹6,890"
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey4.311,586 Ratings & 912 Reviews800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier",4.3,"₹12,990"
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...,"SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Hea...4.427,972 Ratings & 2,726 Reviews1000 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4,"₹23,690"
"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White","IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White4.313,888 Ratings & 1,176 Reviews720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support",4.3,"₹18,690"
"Thomson 10 kg Semi Automatic Top Load Black, White","Thomson 10 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹11,490"
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White","LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White4.511,205 Ratings & 854 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG",4.5,"₹12,490"
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon4.357,655 Ratings & 6,550 Reviews1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart",4.3,"₹7,190"
"SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple","SAMSUNG 7 kg Semi Automatic Top Load Grey, Purple4.418,424 Ratings & 1,430 Reviews1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.4,"₹11,290"
"Thomson 6.5 kg with Semi Automatic Top Load Blue, White","Thomson 6.5 kg with Semi Automatic Top Load Blue, White43,345 Ratings & 321 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor",4,"₹7,690"
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.21,698 Ratings & 172 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.2,"₹15,240"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.310,890 Ratings & 1,107 Reviews1000 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty and 10 Years Spares Support",4.3,"₹28,390"
"Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","Whirlpool 7 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey4.49,306 Ratings & 811 Reviews1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor",4.4,"₹9,990"
Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White,"Thomson 10.5 kg Germ Purifier Technology Fully Automatic Front Load with In-built Heater White41,352 Ratings & 249 Reviews1200 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor",4,"₹22,990"
"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White","IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White4.32,223 Ratings & 197 Reviews1200 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",4.3,"₹34,990"
ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey,"ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey4.245,540 Ratings & 5,305 Reviews750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.2,"₹13,290"
LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,"LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver4.334,409 Ratings & 2,833 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG",4.3,"₹16,990"
"Thomson 8 kg Semi Automatic Top Load Black, White","Thomson 8 kg Semi Automatic Top Load Black, White4.12,225 Ratings & 252 Reviews1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson",4.1,"₹8,790"
"Thomson 7 kg Washer only Red, White","Thomson 7 kg Washer only Red, White4.1854 Ratings & 104 Reviews780 rpm Max Speed1 Years Comprehensive Warranty on Product and 5 Years on Wash Motor",4.1,"₹4,990"
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver,"SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver4.35,577 Ratings & 454 Reviews680 rpm Max Speed3 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹15,790"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey,"realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey4.219,487 Ratings & 2,393 Reviews700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor",4.2,"₹13,490"
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey,"SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey4.323,691 Ratings & 1,989 Reviews700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3,"₹17,990"
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey4.31,490 Ratings & 141 Reviews740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor",4.3,"₹13,990"
"realme TechLife 7 kg Semi Automatic Top Load White, Black","realme TechLife 7 kg Semi Automatic Top Load White, Black4.218,069 Ratings & 2,072 Reviews1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor",4.2,"₹7,990"
